Description,AssemblyDescription
1-1/4 L/T FLEX PVC,"1-1/4"" CONDUIT - FLEX"
"3/4"" EMT Or 3/4"" Rigid/RMC, Co","3/4"" CONDUIT - EMT"
3/4” Schedule 40 Pvc,"3/4"" CONDUIT - PVC"
"4"" metallic flex","4"" CONDUIT - FLEX"
"3/4"" smurf tube","3/4"" CONDUIT - ENT"
"[EMT] 4"" Conduit","4"" CONDUIT - EMT"
"EMT Conduit, 1-1/2"", Galvanize","1-1/2"" CONDUIT - EMT"
"1-1/2"" Carflex  ","1-1/2"" CONDUIT - FLEX"
"3/4"" PVC sch.40","3/4"" CONDUIT - PVC"
1 1/4 pvc,"1-1/4"" CONDUIT - PVC"
"1"" Conduit -PVC Sch 80","1"" CONDUIT - PVC"
3/8 FLEX,UNK CONDUIT - FLEX
"2"" PVC X 10' Sched 40","2"" CONDUIT - PVC"
"PVC 3/4"" CONDUIT","3/4"" CONDUIT - PVC"
"3/4"" ENT Black Plastic Deck St","3/4"" CONDUIT - ENT"
"1"" Carflex","1"" CONDUIT - FLEX"
1 1/4 emt,"1-1/4"" CONDUIT - EMT"
"2-1/2"" EMT 10'","2-1/2"" CONDUIT - EMT"
3/4 carflex,"3/4"" CONDUIT - FLEX"
3 IN. SCHEDULE 80 PVC,"3"" CONDUIT - PVC"
1/2” Sealtight Conectors,"1/2"" CONDUIT - FLEX"
"1/2"" PVC Conduit, 10', Schedu","1/2"" CONDUIT - PVC"
"4"" emt conduits","4"" CONDUIT - EMT"
12 in. x 12 in. x 6 in. PVC Ju,"6"" CONDUIT - PVC"
"[PVC] 3"", Schedule 40, 20’Stic","3"" CONDUIT - PVC"
"2 1/2"" EMT Conduit","2-1/2"" CONDUIT - EMT"
"3"" PVC Schedule 40","3"" CONDUIT - PVC"
"1 1/2"" EMT CONDUIT","1-1/2"" CONDUIT - EMT"
"1"" Metal-Flex Conduit-Steel","1"" CONDUIT - FLEX"
"2000' Total 1-1/4"" pvc","1-1/4"" CONDUIT - PVC"
Carflex 1 1/4,"1-1/4"" CONDUIT - FLEX"
